icd10_code,description
T43693D,"Poisoning by other psychostimulants, assault, subsequent encounter"
T43693S,"Poisoning by other psychostimulants, assault, sequela"
T43694A,"Poisoning by other psychostimulants, undetermined, initial encounter"
T43694D,"Poisoning by other psychostimulants, undetermined, subsequent encounter"
T43694S,"Poisoning by other psychostimulants, undetermined, sequela"
T43695A,"Adverse effect of other psychostimulants, initial encounter"
T43695D,"Adverse effect of other psychostimulants, subsequent encounter"
T43695S,"Adverse effect of other psychostimulants, sequela"
T43696A,"Underdosing of other psychostimulants, initial encounter"
T43696D,"Underdosing of other psychostimulants, subsequent encounter"
T43696S,"Underdosing of other psychostimulants, sequela"
T438X1A,"Poisoning by other psychotropic drugs, accidental (unintentional), initial encounter"
T438X1D,"Poisoning by other psychotropic drugs, accidental (unintentional), subsequent encounter"
T438X1S,"Poisoning by other psychotropic drugs, accidental (unintentional), sequela"
T438X2A,"Poisoning by other psychotropic drugs, intentional self-harm, initial encounter"
T438X2D,"Poisoning by other psychotropic drugs, intentional self-harm, subsequent encounter"
T438X2S,"Poisoning by other psychotropic drugs, intentional self-harm, sequela"
T438X3A,"Poisoning by other psychotropic drugs, assault, initial encounter"
T438X3D,"Poisoning by other psychotropic drugs, assault, subsequent encounter"
T438X3S,"Poisoning by other psychotropic drugs, assault, sequela"
T438X4A,"Poisoning by other psychotropic drugs, undetermined, initial encounter"
T438X4D,"Poisoning by other psychotropic drugs, undetermined, subsequent encounter"
T438X4S,"Poisoning by other psychotropic drugs, undetermined, sequela"
T438X5A,"Adverse effect of other psychotropic drugs, initial encounter"
T438X5D,"Adverse effect of other psychotropic drugs, subsequent encounter"
T438X5S,"Adverse effect of other psychotropic drugs, sequela"
T438X6A,"Underdosing of other psychotropic drugs, initial encounter"
T438X6D,"Underdosing of other psychotropic drugs, subsequent encounter"
T438X6S,"Underdosing of other psychotropic drugs, sequela"
T4391XA,"Poisoning by unspecified psychotropic drug, accidental (unintentional), initial encounter"
T4391XD,"Poisoning by unspecified psychotropic drug, accidental (unintentional), subsequent encounter"
T4391XS,"Poisoning by unspecified psychotropic drug, accidental (unintentional), sequela"
T4392XA,"Poisoning by unspecified psychotropic drug, intentional self-harm, initial encounter"
T4392XD,"Poisoning by unspecified psychotropic drug, intentional self-harm, subsequent encounter"
T4392XS,"Poisoning by unspecified psychotropic drug, intentional self-harm, sequela"
T4393XA,"Poisoning by unspecified psychotropic drug, assault, initial encounter"
T4393XD,"Poisoning by unspecified psychotropic drug, assault, subsequent encounter"
T4393XS,"Poisoning by unspecified psychotropic drug, assault, sequela"
T4394XA,"Poisoning by unspecified psychotropic drug, undetermined, initial encounter"
T4394XD,"Poisoning by unspecified psychotropic drug, undetermined, subsequent encounter"
T4394XS,"Poisoning by unspecified psychotropic drug, undetermined, sequela"
T4395XA,"Adverse effect of unspecified psychotropic drug, initial encounter"
T4395XD,"Adverse effect of unspecified psychotropic drug, subsequent encounter"
T4395XS,"Adverse effect of unspecified psychotropic drug, sequela"
T4396XA,"Underdosing of unspecified psychotropic drug, initial encounter"
T4396XD,"Underdosing of unspecified psychotropic drug, subsequent encounter"
T4396XS,"Underdosing of unspecified psychotropic drug, sequela"
T440X1A,"Poisoning by anticholinesterase agents, accidental (unintentional), initial encounter"
T440X1D,"Poisoning by anticholinesterase agents, accidental (unintentional), subsequent encounter"
T440X1S,"Poisoning by anticholinesterase agents, accidental (unintentional), sequela"
T440X2A,"Poisoning by anticholinesterase agents, intentional self-harm, initial encounter"
T440X2D,"Poisoning by anticholinesterase agents, intentional self-harm, subsequent encounter"
T440X2S,"Poisoning by anticholinesterase agents, intentional self-harm, sequela"
T440X3A,"Poisoning by anticholinesterase agents, assault, initial encounter"
T440X3D,"Poisoning by anticholinesterase agents, assault, subsequent encounter"
T440X3S,"Poisoning by anticholinesterase agents, assault, sequela"
T440X4A,"Poisoning by anticholinesterase agents, undetermined, initial encounter"
T440X4D,"Poisoning by anticholinesterase agents, undetermined, subsequent encounter"
T440X4S,"Poisoning by anticholinesterase agents, undetermined, sequela"
T440X5A,"Adverse effect of anticholinesterase agents, initial encounter"
T440X5D,"Adverse effect of anticholinesterase agents, subsequent encounter"
T440X5S,"Adverse effect of anticholinesterase agents, sequela"
T440X6A,"Underdosing of anticholinesterase agents, initial encounter"
T440X6D,"Underdosing of anticholinesterase agents, subsequent encounter"
T440X6S,"Underdosing of anticholinesterase agents, sequela"
T441X1A,"Poisoning by other parasympathomimetics [cholinergics], accidental (unintentional), initial encounter"
T441X1D,"Poisoning by other parasympathomimetics [cholinergics], accidental (unintentional), subsequent encounter"
T441X1S,"Poisoning by other parasympathomimetics [cholinergics], accidental (unintentional), sequela"
T441X2A,"Poisoning by other parasympathomimetics [cholinergics], intentional self-harm, initial encounter"
T441X2D,"Poisoning by other parasympathomimetics [cholinergics], intentional self-harm, subsequent encounter"
T441X2S,"Poisoning by other parasympathomimetics [cholinergics], intentional self-harm, sequela"
T441X3A,"Poisoning by other parasympathomimetics [cholinergics], assault, initial encounter"
T441X3D,"Poisoning by other parasympathomimetics [cholinergics], assault, subsequent encounter"
T441X3S,"Poisoning by other parasympathomimetics [cholinergics], assault, sequela"
T441X4A,"Poisoning by other parasympathomimetics [cholinergics], undetermined, initial encounter"
T441X4D,"Poisoning by other parasympathomimetics [cholinergics], undetermined, subsequent encounter"
T441X4S,"Poisoning by other parasympathomimetics [cholinergics], undetermined, sequela"
T441X5A,"Adverse effect of other parasympathomimetics [cholinergics], initial encounter"
T441X5D,"Adverse effect of other parasympathomimetics [cholinergics], subsequent encounter"
T441X5S,"Adverse effect of other parasympathomimetics [cholinergics], sequela"
T441X6A,"Underdosing of other parasympathomimetics [cholinergics], initial encounter"
T441X6D,"Underdosing of other parasympathomimetics [cholinergics], subsequent encounter"
T441X6S,"Underdosing of other parasympathomimetics [cholinergics], sequela"
T442X1A,"Poisoning by ganglionic blocking drugs, accidental (unintentional), initial encounter"
T442X1D,"Poisoning by ganglionic blocking drugs, accidental (unintentional), subsequent encounter"
T442X1S,"Poisoning by ganglionic blocking drugs, accidental (unintentional), sequela"
T442X2A,"Poisoning by ganglionic blocking drugs, intentional self-harm, initial encounter"
T442X2D,"Poisoning by ganglionic blocking drugs, intentional self-harm, subsequent encounter"
T442X2S,"Poisoning by ganglionic blocking drugs, intentional self-harm, sequela"
T442X3A,"Poisoning by ganglionic blocking drugs, assault, initial encounter"
T442X3D,"Poisoning by ganglionic blocking drugs, assault, subsequent encounter"
T442X3S,"Poisoning by ganglionic blocking drugs, assault, sequela"
T442X4A,"Poisoning by ganglionic blocking drugs, undetermined, initial encounter"
T442X4D,"Poisoning by ganglionic blocking drugs, undetermined, subsequent encounter"
T442X4S,"Poisoning by ganglionic blocking drugs, undetermined, sequela"
T442X5A,"Adverse effect of ganglionic blocking drugs, initial encounter"
T442X5D,"Adverse effect of ganglionic blocking drugs, subsequent encounter"
T442X5S,"Adverse effect of ganglionic blocking drugs, sequela"
T442X6A,"Underdosing of ganglionic blocking drugs, initial encounter"
T442X6D,"Underdosing of ganglionic blocking drugs, subsequent encounter"
T442X6S,"Underdosing of ganglionic blocking drugs, sequela"
T443X1A,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, accidental (unintentional), initial encounter"
T443X1D,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, accidental (unintentional), subsequent encounter"
T443X1S,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, accidental (unintentional), sequela"
T443X2A,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, intentional self-harm, initial encounter"
T443X2D,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, intentional self-harm, subsequent encounter"
T443X2S,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, intentional self-harm, sequela"
T443X3A,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, assault, initial encounter"
T443X3D,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, assault, subsequent encounter"
T443X3S,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, assault, sequela"
T443X4A,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, undetermined, initial encounter"
T443X4D,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, undetermined, subsequent encounter"
T443X4S,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, undetermined, sequela"
T443X5A,"Adverse effect of other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, initial encounter"
T443X5D,"Adverse effect of other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, subsequent encounter"
T443X5S,"Adverse effect of other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, sequela"
T443X6A,"Underdosing of other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, initial encounter"
T443X6D,"Underdosing of other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, subsequent encounter"
T443X6S,"Underdosing of other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, sequela"
T444X1A,"Poisoning by predominantly alpha-adrenoreceptor agonists, accidental (unintentional), initial encounter"
T444X1D,"Poisoning by predominantly alpha-adrenoreceptor agonists, accidental (unintentional), subsequent encounter"
T444X1S,"Poisoning by predominantly alpha-adrenoreceptor agonists, accidental (unintentional), sequela"
T444X2A,"Poisoning by predominantly alpha-adrenoreceptor agonists, intentional self-harm, initial encounter"
T444X2D,"Poisoning by predominantly alpha-adrenoreceptor agonists, intentional self-harm, subsequent encounter"
T444X2S,"Poisoning by predominantly alpha-adrenoreceptor agonists, intentional self-harm, sequela"
T444X3A,"Poisoning by predominantly alpha-adrenoreceptor agonists, assault, initial encounter"
T444X3D,"Poisoning by predominantly alpha-adrenoreceptor agonists, assault, subsequent encounter"
T444X3S,"Poisoning by predominantly alpha-adrenoreceptor agonists, assault, sequela"
T444X4A,"Poisoning by predominantly alpha-adrenoreceptor agonists, undetermined, initial encounter"
T444X4D,"Poisoning by predominantly alpha-adrenoreceptor agonists, undetermined, subsequent encounter"
T444X4S,"Poisoning by predominantly alpha-adrenoreceptor agonists, undetermined, sequela"
T444X5A,"Adverse effect of predominantly alpha-adrenoreceptor agonists, initial encounter"
T444X5D,"Adverse effect of predominantly alpha-adrenoreceptor agonists, subsequent encounter"
T444X5S,"Adverse effect of predominantly alpha-adrenoreceptor agonists, sequela"
T444X6A,"Underdosing of predominantly alpha-adrenoreceptor agonists, initial encounter"
T444X6D,"Underdosing of predominantly alpha-adrenoreceptor agonists, subsequent encounter"
T444X6S,"Underdosing of predominantly alpha-adrenoreceptor agonists, sequela"
T445X1A,"Poisoning by predominantly beta-adrenoreceptor agonists, accidental (unintentional), initial encounter"
T445X1D,"Poisoning by predominantly beta-adrenoreceptor agonists, accidental (unintentional), subsequent encounter"
T445X1S,"Poisoning by predominantly beta-adrenoreceptor agonists, accidental (unintentional), sequela"
T445X2A,"Poisoning by predominantly beta-adrenoreceptor agonists, intentional self-harm, initial encounter"
T445X2D,"Poisoning by predominantly beta-adrenoreceptor agonists, intentional self-harm, subsequent encounter"
T445X2S,"Poisoning by predominantly beta-adrenoreceptor agonists, intentional self-harm, sequela"
T445X3A,"Poisoning by predominantly beta-adrenoreceptor agonists, assault, initial encounter"
T445X3D,"Poisoning by predominantly beta-adrenoreceptor agonists, assault, subsequent encounter"
T445X3S,"Poisoning by predominantly beta-adrenoreceptor agonists, assault, sequela"
T445X4A,"Poisoning by predominantly beta-adrenoreceptor agonists, undetermined, initial encounter"
T445X4D,"Poisoning by predominantly beta-adrenoreceptor agonists, undetermined, subsequent encounter"
T445X4S,"Poisoning by predominantly beta-adrenoreceptor agonists, undetermined, sequela"
T445X5A,"Adverse effect of predominantly beta-adrenoreceptor agonists, initial encounter"
T445X5D,"Adverse effect of predominantly beta-adrenoreceptor agonists, subsequent encounter"
T445X5S,"Adverse effect of predominantly beta-adrenoreceptor agonists, sequela"
T445X6A,"Underdosing of predominantly beta-adrenoreceptor agonists, initial encounter"
T445X6D,"Underdosing of predominantly beta-adrenoreceptor agonists, subsequent encounter"
T445X6S,"Underdosing of predominantly beta-adrenoreceptor agonists, sequela"
T446X1A,"Poisoning by alpha-adrenoreceptor antagonists, accidental (unintentional), initial encounter"
T446X1D,"Poisoning by alpha-adrenoreceptor antagonists, accidental (unintentional), subsequent encounter"
T446X1S,"Poisoning by alpha-adrenoreceptor antagonists, accidental (unintentional), sequela"
T446X2A,"Poisoning by alpha-adrenoreceptor antagonists, intentional self-harm, initial encounter"
T446X2D,"Poisoning by alpha-adrenoreceptor antagonists, intentional self-harm, subsequent encounter"
T446X2S,"Poisoning by alpha-adrenoreceptor antagonists, intentional self-harm, sequela"
T446X3A,"Poisoning by alpha-adrenoreceptor antagonists, assault, initial encounter"
T446X3D,"Poisoning by alpha-adrenoreceptor antagonists, assault, subsequent encounter"
T446X3S,"Poisoning by alpha-adrenoreceptor antagonists, assault, sequela"
T446X4A,"Poisoning by alpha-adrenoreceptor antagonists, undetermined, initial encounter"
T446X4D,"Poisoning by alpha-adrenoreceptor antagonists, undetermined, subsequent encounter"
T446X4S,"Poisoning by alpha-adrenoreceptor antagonists, undetermined, sequela"
T446X5A,"Adverse effect of alpha-adrenoreceptor antagonists, initial encounter"
T446X5D,"Adverse effect of alpha-adrenoreceptor antagonists, subsequent encounter"
T446X5S,"Adverse effect of alpha-adrenoreceptor antagonists, sequela"
T446X6A,"Underdosing of alpha-adrenoreceptor antagonists, initial encounter"
T446X6D,"Underdosing of alpha-adrenoreceptor antagonists, subsequent encounter"
T446X6S,"Underdosing of alpha-adrenoreceptor antagonists, sequela"
T447X1A,"Poisoning by beta-adrenoreceptor antagonists, accidental (unintentional), initial encounter"
T447X1D,"Poisoning by beta-adrenoreceptor antagonists, accidental (unintentional), subsequent encounter"
T447X1S,"Poisoning by beta-adrenoreceptor antagonists, accidental (unintentional), sequela"
T447X2A,"Poisoning by beta-adrenoreceptor antagonists, intentional self-harm, initial encounter"
T447X2D,"Poisoning by beta-adrenoreceptor antagonists, intentional self-harm, subsequent encounter"
T447X2S,"Poisoning by beta-adrenoreceptor antagonists, intentional self-harm, sequela"
T447X3A,"Poisoning by beta-adrenoreceptor antagonists, assault, initial encounter"
T447X3D,"Poisoning by beta-adrenoreceptor antagonists, assault, subsequent encounter"
T447X3S,"Poisoning by beta-adrenoreceptor antagonists, assault, sequela"
T447X4A,"Poisoning by beta-adrenoreceptor antagonists, undetermined, initial encounter"
T447X4D,"Poisoning by beta-adrenoreceptor antagonists, undetermined, subsequent encounter"
T447X4S,"Poisoning by beta-adrenoreceptor antagonists, undetermined, sequela"
T447X5A,"Adverse effect of beta-adrenoreceptor antagonists, initial encounter"
T447X5D,"Adverse effect of beta-adrenoreceptor antagonists, subsequent encounter"
T447X5S,"Adverse effect of beta-adrenoreceptor antagonists, sequela"
T447X6A,"Underdosing of beta-adrenoreceptor antagonists, initial encounter"
T447X6D,"Underdosing of beta-adrenoreceptor antagonists, subsequent encounter"
T447X6S,"Underdosing of beta-adrenoreceptor antagonists, sequela"
T448X1A,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, accidental (unintentional), initial encounter"
T448X1D,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, accidental (unintentional), subsequent encounter"
T448X1S,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, accidental (unintentional), sequela"
T448X2A,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, intentional self-harm, initial encounter"
T448X2D,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, intentional self-harm, subsequent encounter"
T448X2S,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, intentional self-harm, sequela"
T448X3A,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, assault, initial encounter"
T448X3D,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, assault, subsequent encounter"
T448X3S,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, assault, sequela"
T448X4A,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, undetermined, initial encounter"
T448X4D,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, undetermined, subsequent encounter"
T448X4S,"Poisoning by centrally-acting and adrenergic-neuron-blocking agents, undetermined, sequela"
T448X5A,"Adverse effect of centrally-acting and adrenergic-neuron-blocking agents, initial encounter"
T448X5D,"Adverse effect of centrally-acting and adrenergic-neuron-blocking agents, subsequent encounter"
T448X5S,"Adverse effect of centrally-acting and adrenergic-neuron-blocking agents, sequela"
T448X6A,"Underdosing of centrally-acting and adrenergic-neuron-blocking agents, initial encounter"
T448X6D,"Underdosing of centrally-acting and adrenergic-neuron-blocking agents, subsequent encounter"
T448X6S,"Underdosing of centrally-acting and adrenergic-neuron-blocking agents, sequela"
T44901A,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, accidental (unintentional), initial encounter"
T44901D,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, accidental (unintentional), subsequent encounter"
T44901S,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, accidental (unintentional), sequela"
T44902A,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, intentional self-harm, initial encounter"
T44902D,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, intentional self-harm, subsequent encounter"
T44902S,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, intentional self-harm, sequela"
T44903A,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, assault, initial encounter"
T44903D,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, assault, subsequent encounter"
T44903S,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, assault, sequela"
T44904A,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, undetermined, initial encounter"
T44904D,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, undetermined, subsequent encounter"
T44904S,"Poisoning by unspecified drugs primarily affecting the autonomic nervous system, undetermined, sequela"
T44905A,"Adverse effect of unspecified drugs primarily affecting the autonomic nervous system, initial encounter"
T44905D,"Adverse effect of unspecified drugs primarily affecting the autonomic nervous system, subsequent encounter"
T44905S,"Adverse effect of unspecified drugs primarily affecting the autonomic nervous system, sequela"
T44906A,"Underdosing of unspecified drugs primarily affecting the autonomic nervous system, initial encounter"
T44906D,"Underdosing of unspecified drugs primarily affecting the autonomic nervous system, subsequent encounter"
T44906S,"Underdosing of unspecified drugs primarily affecting the autonomic nervous system, sequela"
T44991A,"Poisoning by other drug primarily affecting the autonomic nervous system, accidental (unintentional), initial encounter"
T44991D,"Poisoning by other drug primarily affecting the autonomic nervous system, accidental (unintentional), subsequent encounter"
T44991S,"Poisoning by other drug primarily affecting the autonomic nervous system, accidental (unintentional), sequela"
T44992A,"Poisoning by other drug primarily affecting the autonomic nervous system, intentional self-harm, initial encounter"
T44992D,"Poisoning by other drug primarily affecting the autonomic nervous system, intentional self-harm, subsequent encounter"
T44992S,"Poisoning by other drug primarily affecting the autonomic nervous system, intentional self-harm, sequela"
T44993A,"Poisoning by other drug primarily affecting the autonomic nervous system, assault, initial encounter"
T44993D,"Poisoning by other drug primarily affecting the autonomic nervous system, assault, subsequent encounter"
T44993S,"Poisoning by other drug primarily affecting the autonomic nervous system, assault, sequela"
T44994A,"Poisoning by other drug primarily affecting the autonomic nervous system, undetermined, initial encounter"
T44994D,"Poisoning by other drug primarily affecting the autonomic nervous system, undetermined, subsequent encounter"
T44994S,"Poisoning by other drug primarily affecting the autonomic nervous system, undetermined, sequela"
T44995A,"Adverse effect of other drug primarily affecting the autonomic nervous system, initial encounter"
T44995D,"Adverse effect of other drug primarily affecting the autonomic nervous system, subsequent encounter"
T44995S,"Adverse effect of other drug primarily affecting the autonomic nervous system, sequela"
T44996A,"Underdosing of other drug primarily affecting the autonomic nervous system, initial encounter"
T44996D,"Underdosing of other drug primarily affecting the autonomic nervous system, subsequent encounter"
T44996S,"Underdosing of other drug primarily affecting the autonomic nervous system, sequela"
T450X1A,"Poisoning by antiallergic and antiemetic drugs, accidental (unintentional), initial encounter"
T450X1D,"Poisoning by antiallergic and antiemetic drugs, accidental (unintentional), subsequent encounter"
T450X1S,"Poisoning by antiallergic and antiemetic drugs, accidental (unintentional), sequela"
T450X2A,"Poisoning by antiallergic and antiemetic drugs, intentional self-harm, initial encounter"
T450X2D,"Poisoning by antiallergic and antiemetic drugs, intentional self-harm, subsequent encounter"
T450X2S,"Poisoning by antiallergic and antiemetic drugs, intentional self-harm, sequela"
T450X3A,"Poisoning by antiallergic and antiemetic drugs, assault, initial encounter"
T450X3D,"Poisoning by antiallergic and antiemetic drugs, assault, subsequent encounter"
T450X3S,"Poisoning by antiallergic and antiemetic drugs, assault, sequela"
T450X4A,"Poisoning by antiallergic and antiemetic drugs, undetermined, initial encounter"
T450X4D,"Poisoning by antiallergic and antiemetic drugs, undetermined, subsequent encounter"
T450X4S,"Poisoning by antiallergic and antiemetic drugs, undetermined, sequela"
T450X5A,"Adverse effect of antiallergic and antiemetic drugs, initial encounter"
T450X5D,"Adverse effect of antiallergic and antiemetic drugs, subsequent encounter"
T450X5S,"Adverse effect of antiallergic and antiemetic drugs, sequela"
T450X6A,"Underdosing of antiallergic and antiemetic drugs, initial encounter"
T450X6D,"Underdosing of antiallergic and antiemetic drugs, subsequent encounter"
T450X6S,"Underdosing of antiallergic and antiemetic drugs, sequela"
T451X1A,"Poisoning by antineoplastic and immunosuppressive drugs, accidental (unintentional), initial encounter"
T451X1D,"Poisoning by antineoplastic and immunosuppressive drugs, accidental (unintentional), subsequent encounter"
T451X1S,"Poisoning by antineoplastic and immunosuppressive drugs, accidental (unintentional), sequela"
T451X2A,"Poisoning by antineoplastic and immunosuppressive drugs, intentional self-harm, initial encounter"
T451X2D,"Poisoning by antineoplastic and immunosuppressive drugs, intentional self-harm, subsequent encounter"
T451X2S,"Poisoning by antineoplastic and immunosuppressive drugs, intentional self-harm, sequela"
T451X3A,"Poisoning by antineoplastic and immunosuppressive drugs, assault, initial encounter"
T451X3D,"Poisoning by antineoplastic and immunosuppressive drugs, assault, subsequent encounter"
T451X3S,"Poisoning by antineoplastic and immunosuppressive drugs, assault, sequela"
T451X4A,"Poisoning by antineoplastic and immunosuppressive drugs, undetermined, initial encounter"
T451X4D,"Poisoning by antineoplastic and immunosuppressive drugs, undetermined, subsequent encounter"
T451X4S,"Poisoning by antineoplastic and immunosuppressive drugs, undetermined, sequela"
T451X5A,"Adverse effect of antineoplastic and immunosuppressive drugs, initial encounter"
T451X5D,"Adverse effect of antineoplastic and immunosuppressive drugs, subsequent encounter"
T451X5S,"Adverse effect of antineoplastic and immunosuppressive drugs, sequela"
T451X6A,"Underdosing of antineoplastic and immunosuppressive drugs, initial encounter"
T451X6D,"Underdosing of antineoplastic and immunosuppressive drugs, subsequent encounter"
T451X6S,"Underdosing of antineoplastic and immunosuppressive drugs, sequela"
T452X1A,"Poisoning by vitamins, accidental (unintentional), initial encounter"
T452X1D,"Poisoning by vitamins, accidental (unintentional), subsequent encounter"
T452X1S,"Poisoning by vitamins, accidental (unintentional), sequela"
T452X2A,"Poisoning by vitamins, intentional self-harm, initial encounter"
T452X2D,"Poisoning by vitamins, intentional self-harm, subsequent encounter"
T452X2S,"Poisoning by vitamins, intentional self-harm, sequela"
T452X3A,"Poisoning by vitamins, assault, initial encounter"
T452X3D,"Poisoning by vitamins, assault, subsequent encounter"
T452X3S,"Poisoning by vitamins, assault, sequela"
T452X4A,"Poisoning by vitamins, undetermined, initial encounter"
T452X4D,"Poisoning by vitamins, undetermined, subsequent encounter"
T452X4S,"Poisoning by vitamins, undetermined, sequela"
T452X5A,"Adverse effect of vitamins, initial encounter"
T452X5D,"Adverse effect of vitamins, subsequent encounter"
T452X5S,"Adverse effect of vitamins, sequela"
T452X6A,"Underdosing of vitamins, initial encounter"
T452X6D,"Underdosing of vitamins, subsequent encounter"
T452X6S,"Underdosing of vitamins, sequela"
T453X1A,"Poisoning by enzymes, accidental (unintentional), initial encounter"
T453X1D,"Poisoning by enzymes, accidental (unintentional), subsequent encounter"
T453X1S,"Poisoning by enzymes, accidental (unintentional), sequela"
T453X2A,"Poisoning by enzymes, intentional self-harm, initial encounter"
T453X2D,"Poisoning by enzymes, intentional self-harm, subsequent encounter"
T453X2S,"Poisoning by enzymes, intentional self-harm, sequela"
T453X3A,"Poisoning by enzymes, assault, initial encounter"
T453X3D,"Poisoning by enzymes, assault, subsequent encounter"
T453X3S,"Poisoning by enzymes, assault, sequela"
T453X4A,"Poisoning by enzymes, undetermined, initial encounter"
T453X4D,"Poisoning by enzymes, undetermined, subsequent encounter"
T453X4S,"Poisoning by enzymes, undetermined, sequela"
T453X5A,"Adverse effect of enzymes, initial encounter"
T453X5D,"Adverse effect of enzymes, subsequent encounter"
T453X5S,"Adverse effect of enzymes, sequela"
T453X6A,"Underdosing of enzymes, initial encounter"
T453X6D,"Underdosing of enzymes, subsequent encounter"
T453X6S,"Underdosing of enzymes, sequela"
T454X1A,"Poisoning by iron and its compounds, accidental (unintentional), initial encounter"
T454X1D,"Poisoning by iron and its compounds, accidental (unintentional), subsequent encounter"
T454X1S,"Poisoning by iron and its compounds, accidental (unintentional), sequela"
T454X2A,"Poisoning by iron and its compounds, intentional self-harm, initial encounter"
T454X2D,"Poisoning by iron and its compounds, intentional self-harm, subsequent encounter"
T454X2S,"Poisoning by iron and its compounds, intentional self-harm, sequela"
T454X3A,"Poisoning by iron and its compounds, assault, initial encounter"
T454X3D,"Poisoning by iron and its compounds, assault, subsequent encounter"
T454X3S,"Poisoning by iron and its compounds, assault, sequela"
T454X4A,"Poisoning by iron and its compounds, undetermined, initial encounter"
T454X4D,"Poisoning by iron and its compounds, undetermined, subsequent encounter"
T454X4S,"Poisoning by iron and its compounds, undetermined, sequela"
T454X5A,"Adverse effect of iron and its compounds, initial encounter"
T454X5D,"Adverse effect of iron and its compounds, subsequent encounter"
T454X5S,"Adverse effect of iron and its compounds, sequela"
T454X6A,"Underdosing of iron and its compounds, initial encounter"
T454X6D,"Underdosing of iron and its compounds, subsequent encounter"
T454X6S,"Underdosing of iron and its compounds, sequela"
T45511A,"Poisoning by anticoagulants, accidental (unintentional), initial encounter"
T45511D,"Poisoning by anticoagulants, accidental (unintentional), subsequent encounter"
T45511S,"Poisoning by anticoagulants, accidental (unintentional), sequela"
T45512A,"Poisoning by anticoagulants, intentional self-harm, initial encounter"
T45512D,"Poisoning by anticoagulants, intentional self-harm, subsequent encounter"
T45512S,"Poisoning by anticoagulants, intentional self-harm, sequela"
T45513A,"Poisoning by anticoagulants, assault, initial encounter"
T45513D,"Poisoning by anticoagulants, assault, subsequent encounter"
T45513S,"Poisoning by anticoagulants, assault, sequela"
T45514A,"Poisoning by anticoagulants, undetermined, initial encounter"
T45514D,"Poisoning by anticoagulants, undetermined, subsequent encounter"
T45514S,"Poisoning by anticoagulants, undetermined, sequela"
T45515A,"Adverse effect of anticoagulants, initial encounter"
T45515D,"Adverse effect of anticoagulants, subsequent encounter"
T45515S,"Adverse effect of anticoagulants, sequela"
T45516A,"Underdosing of anticoagulants, initial encounter"
T45516D,"Underdosing of anticoagulants, subsequent encounter"
T45516S,"Underdosing of anticoagulants, sequela"
T45521A,"Poisoning by antithrombotic drugs, accidental (unintentional), initial encounter"
T45521D,"Poisoning by antithrombotic drugs, accidental (unintentional), subsequent encounter"
T45521S,"Poisoning by antithrombotic drugs, accidental (unintentional), sequela"
T45522A,"Poisoning by antithrombotic drugs, intentional self-harm, initial encounter"
T45522D,"Poisoning by antithrombotic drugs, intentional self-harm, subsequent encounter"
T45522S,"Poisoning by antithrombotic drugs, intentional self-harm, sequela"
